"","document","topic","gamma"
"313","371_1829_Х_Х4_nc_core",1,0.551948051948052
"314","373_1830_Я_Я4_nc_core",1,0.293388429752066
"315","374_1830_Я_Я4_nc_core",1,0.377906976744186
"316","375_1829_Я_Я4_nc_core",1,0.114130434782609
"317","376_1829_Я_Я4_nc_core",1,0.0889830508474576
"318","377_1830_Я_Я4_nc_core",1,0.135542168674699
"319","378_1830_Я_Я4343443443_canon_core",1,0.0454545454545455
"320","379_1830_Я_Я4_nc_core",1,0.143478260869565
"321","38_1821_Я_Я5_canon_core",1,0.344155844155844
"322","380_1830_Полиметр_Полиметр_nc_core",1,0.567708333333333
"323","381_1830_Я_ЯВ_nc_core",1,0.00198412698412698
"324","382_1830_Я_Я4_nc_core",1,0.189320388349515
"325","383_1825_Я_Я6_nc_core",1,0.0528169014084507
"326","386_1825_Я_Я4_nc_core",1,0.00276243093922652
"327","387_1826_Я_Я4_canon_core",1,0.125
"328","389_1826_Я_Я4_nc_core",1,0.0789473684210526
"329","39_1821_Я_Я4_canon_core",1,0.0964912280701754
"330","390_1826_Я_Я4_nc_core",1,0.315217391304348
"331","392_1826_Я_Я65_nc_core",1,0.213068181818182
"332","393_1826_Я_Я6_nc_core",1,0.233031674208145
"333","394_1826_Я_Я6_nc_core",1,0.00324675324675325
"334","395_1830_Я_Я4_nc_core",1,0.22
"335","396_1830_Я_Я4_nc_core",1,0.206422018348624
"336","397_1825_Я_ЯВ_nc_core",1,0.326568265682657
"337","398_1831_Х_Х4_nc_core",1,0.362676056338028
"338","399_1831_Я_Я4_nc_core",1,0.108333333333333
"339","4_1819_Я_ЯВ_nc_core",1,0.216129032258065
"340","40_1822_Я_Я4_canon_core",1,0.360759493670886
"341","400_1832_Я_Я6_nc_core",1,0.12111801242236
"342","401_1832_Я_Я4_nc_core",1,0.00495049504950495
"343","403_1833_Я_Я4_nc_core",1,0.0318181818181818
"344","405_1833_Я_ЯВ_nc_core",1,0.0120967741935484
"345","406_1833_Я_Я4_nc_core",1,0.0267175572519084
"346","407_1833_Я_ЯВ_nc_core",1,0.00485436893203883
"347","408_1833_Я_ЯВ_nc_core",1,0.1
"348","409_1827_Я_Я4_canon_core",1,0.385057471264368
"349","41_1822_Я_ЯВ_nc_core",1,0.371527777777778
"350","410_1834_Я_Я4_nc_core",1,0.0116279069767442
"351","411_1834_Я_Я4_nc_core",1,0.593023255813954
"352","412_1834_Д_Днеурег_nc_core",1,0.0208333333333333
"353","413_1834_Я_ЯВ_nc_core",1,0.367647058823529
"354","414_1834_Я_Я5_nc_core",1,0.0131578947368421
"355","415_1834_Я_Я6_nc_core",1,0.00255102040816327
"356","416_1834_Я_ЯВ_nc_core",1,0.0821428571428571
"357","417_1834_Я_Я4_nc_core",1,0.254032258064516
"358","418_1834_Я_ЯВ_nc_core",1,0.0340909090909091
"359","419_1834_Я_Я4_nc_core",1,0.533898305084746
"360","42_1822_Я_ЯВ_nc_core",1,0.155511811023622
"361","420_1827_Я_Я4_canon_core",1,0.0735294117647059
