id;Signature;Author;Title;First line;Year;Meter;Razmer;Razmer_wclaus;Genre subtitle;Source_name;Place;Year;Volume;Number;Page;Type;Перепечатки;Meter;Стоп;Клаузула;canon_ou_non;corpus
64;NA;[Без подписи];Элегия при взгляде на весеннюю погоду;Под блеском тишиной лазоревого свода;1823;Я;ЯВ;ЯВнеурег;NA;ДЖ;NA;1823;Ч. 1;№ 5;194-195;per;NA;Я;В;неурег;nc;core
65;Дм. Шелехов;Шелехов Д.П.;Элегия;Еще ль завидуешь отраде, злобный рок;1823;Я;Я6;Я6неурег;NA;ДЖ;NA;1823;Ч. 2;№ 7;17-22;per;NA;Я;6;неурег;nc;core
66;Д. Шелехов;Шелехов Д.П.;Элегия;Свершилось! не мечта. О сердца торжество;1823;Я;Я6;Я6неурег;NA;ДЖ;NA;1823;Ч. 2;№ 8;56-58;per;NA;Я;6;неурег;nc;core
67;Дм. Шелехов;Шелехов Д.П.;Элегия. Певец после кончины Лиды;О старец укажи мне верный путь к местам;1823;Я;Я6;Я6неурег;NA;ДЖ;NA;1823;Ч. 2;№ 9;88-91;per;NA;Я;6;неурег;nc;core
68;Лобанов;Лобанов М. Элегия, на кончину Софии Дмитриевны Нарышкиной;Элегия на кончину Софии Дмитриевны Нарышкиной;Кому диадимы сияют венчальны;1824;Амф;Амф4;Амф4жмжм;NA;Лобанов М. Элегия, на кончину Софии Дмитриевны Нарышкиной;Спб;1824;NA;NA;3-6;col;NA;Амф;4;жмжм;nc;core
69;Кобозев;Кобозев М.;К луне;Лучи златые дня угасли на полях;1825;Я;Я6663;Я6663мжмж;Элегия;ДЖ;NA;1825;Ч. 10;№ 7;23-24;per;NA;Я;6663;мжмж;nc;core
70;Бистром;Бистром А.;Элегия;Оставь меня судьбе моей;1825;Я;Я4;Я4мжмж;NA;ДЖ;NA;1825;Ч. 11;№ 18;226;per;NA;Я;4;мжмж;nc;core
71;Б-ов;[Б-ов];Элегия;Как скоро улетела ты;1825;Я;Я4;Я4неурег;NA;ДЖ;NA;1825;Ч. 12;№ 20;63-64;per;NA;Я;4;неурег;nc;core
75;Д. Давыдов;Давыдов Д.В.;Элегия;Примите меч я не достоин брани;1821;Я;ЯВ;ЯВнеурег;NA;Рецензент;NA;1821;NA;№ 2;8;per;С мелкими разночтениями опубликовано: Стихотворения Дениса Давыдова. М., 1832. С. 3-4;Я;В;неурег;nc;core
77;Д. Давыдов;Давыдов Д.В.;Элегия;В ужасах войны кровавой;1821;Х;Х4;Х4неурег;NA;Рецензент;NA;1821;NA;№ 20;80;per;NA;Х;4;неурег;canon;core
80;С-н. П-о.;[С-н. П-о];Явление усопших;Покрытый рощицы приветливою сенью;1824;Я;Я6;Я6жмжм;Романтико-треническая елегия;ВЕ;NA;1824;NA;№ 16;279-281;per;NA;Я;6;жмжм;nc;core
82;Норов;Норов А.С.;Предсказания Данта;Кто сей таинственный возсел на берег Арны;1824;Я;Я6;Я6неурег;Элегия;ЛЛ;NA;1824;NA;№ 5;175;per;NA;Я;6;неурег;nc;core
83;В. Туманский;Туманский В.И.;Элегия;Как звонкое журчание Салгира;1824;Я;Я54;Я54неурег;NA;ЛЛ;NA;1824;NA;№ 6;232;per;NA;Я;54;неурег;nc;core
84;В. С…ъ;[В. С…ъ];Элегия;Когда покою взор на влажной глубине;1824;Я;ЯВ;ЯВнеурег;С морского берега. Подражание Леонарду;Благонамеренный;NA;1824;Ч. 25;№ 3;210-211;per;NA;Я;В;неурег;nc;core
85;NA;[Без подписи];Отъезд;Обитель мирная любви и наслаждений;1824;Я;Я6;Я6неурег;Элегия;Благонамеренный;NA;1824;Ч. 25;№ 4;292-294;per;NA;Я;6;неурег;nc;core
86;…ий;[…ий];Больный певец;Тронитесь Камены любимым Певцом;1824;Амф;Амф43;Амф43мжмж;Элегия. Посв…***;Благонамеренный;NA;1824;Ч. 25;№ 5;362-363;per;NA;Амф;43;мжмж;nc;core
